Titulo,URL,Descripcion,limpieza,origenes
Ocean's Eight,/title/tt5164214/,Action Comedy Crime             Debbie Ocean gathers an allfemale crew to attempt an impossible heist at New York Citys annual Met Gala,action comedy crime debbie ocean gathers allfemale crew attempt impossible heist new york citys annual met gala,action comedi crime debbi ocean gather allfemal crew attempt imposs heist new york citi annual met gala
Lord of War,/title/tt0399295/,Crime Drama             An arms dealer confronts the morality of his work as he is being chased by an INTERPOL Agent,crime drama arms dealer confronts morality work chased interpol agent,crime drama arm dealer confront moral work chase interpol agent
She's All That,/title/tt0160862/,Comedy Romance             A high school jock makes a bet that he can turn an unattractive girl into the schools prom queen,comedy romance high school jock makes bet turn unattractive girl schools prom queen,comedi romanc high school jock make bet turn unattract girl school prom queen
Booksmart,/title/tt1489887/,Comedy             On the eve of their highschool graduation two academic superstars and best friends realize they should have worked less and played more Determined not to fall short of their peers the girls try to cram four years of fun into one night,comedy eve highschool graduation two academic superstars best friends realize worked less played determined fall short peers girls try cram four years fun one night,comedi eve highschool graduat two academ superstar best friend realiz work less play determin fall short peer girl tri cram four year fun one night
Van Helsing,/title/tt0338526/,Action Adventure Fantasy             The famed monster hunter is sent to Transylvania to stop Count Dracula who is using Dr Frankensteins research and a werewolf for nefarious purposes,action adventure fantasy famed monster hunter sent transylvania stop count dracula using dr frankensteins research werewolf nefarious purposes,action adventur fantasi fame monster hunter sent transylvania stop count dracula use dr frankenstein research werewolf nefari purpos
The Princess and the Frog,/title/tt0780521/,Animation Adventure Comedy             A waitress desperate to fulfill her dreams as a restaurant owner is set on a journey to turn a frog prince back into a human being but she has to face the same problem after she kisses him,animation adventure comedy waitress desperate fulfill dreams restaurant owner set journey turn frog prince back human face problem kisses,anim adventur comedi waitress desper fulfil dream restaur owner set journey turn frog princ back human face problem kiss
Fantastic Four,/title/tt10676052/,Action Adventure SciFi             One of Marvels most iconic families makes it back to the big screen the Fantastic Four,action adventure scifi one marvels iconic families makes back big screen fantastic four,action adventur scifi one marvel icon famili make back big screen fantast four
King Kong,/title/tt0360717/,Action Adventure Drama             A greedy film producer assembles a team of moviemakers and sets out for the infamous Skull Island where they find more than just cannibalistic natives,action adventure drama greedy film producer assembles team moviemakers sets infamous skull island find cannibalistic natives,action adventur drama greedi film produc assembl team moviemak set infam skull island find cannibalist nativ
The NeverEnding Story,/title/tt0088323/,Adventure Drama Family             A troubled boy dives into a wondrous fantasy world through the pages of a mysterious book,adventure drama family troubled boy dives wondrous fantasy world pages mysterious book,adventur drama famili troubl boy dive wondrous fantasi world page mysteri book
The Texas Chain Saw Massacre,/title/tt0072271/,Horror             Five friends head out to rural Texas to visit the grave of a grandfather On the way they stumble across what appears to be a deserted house only to discover something sinister within Something armed with a chainsaw,horror five friends head rural texas visit grave grandfather way stumble across appears deserted house discover something sinister within something armed chainsaw,horror five friend head rural texa visit grave grandfath way stumbl across appear desert hous discov someth sinist within someth arm chainsaw
The Little Rascals,/title/tt0110366/,Comedy Family Romance             Alfalfa is wooing Darla and his HeManWomanHating friends attempt to sabotage the relationship,comedy family romance alfalfa wooing darla hemanwomanhating friends attempt sabotage relationship,comedi famili romanc alfalfa woo darla hemanwomanh friend attempt sabotag relationship
Ace Ventura: Pet Detective,/title/tt0109040/,Comedy             A goofy detective specializing in animals goes in search of the missing mascot of the Miami Dolphins,comedy goofy detective specializing animals goes search missing mascot miami dolphins,comedi goofi detect special anim goe search miss mascot miami dolphin
Birdman or (The Unexpected Virtue of Ignorance),/title/tt2562232/,Comedy Drama             A washedup superhero actor attempts to revive his fading career by writing directing and starring in a Broadway production,comedy drama washedup superhero actor attempts revive fading career writing directing starring broadway production,comedi drama washedup superhero actor attempt reviv fade career write direct star broadway product
Stargate,/title/tt0111282/,Action Adventure SciFi             An interstellar teleportation device found in Egypt leads to a planet with humans resembling ancient Egyptians who worship the god Ra,action adventure scifi interstellar teleportation device found egypt leads planet humans resembling ancient egyptians worship god ra,action adventur scifi interstellar teleport devic found egypt lead planet human resembl ancient egyptian worship god ra
Ghostbusters Sequel,/title/tt21235248/,Adventure Comedy Fantasy             Plot currently kept under wraps,adventure comedy fantasy plot currently kept wraps,adventur comedi fantasi plot current kept wrap
Power Rangers,/title/tt3717490/,Action Adventure Fantasy             When Earth is on the verge of an alien invasion five teenagers who are infused with superhuman abilities must harness their newfound powers to battle this threat  as the Power Rangers,action adventure fantasy earth verge alien invasion five teenagers infused superhuman abilities must harness newfound powers battle threat power rangers,action adventur fantasi earth verg alien invas five teenag infus superhuman abil must har newfound power battl threat power ranger
The Reader,/title/tt0976051/,Drama Romance             PostWWII Germany Nearly a decade after his affair with an older woman came to a mysterious end law student Michael Berg reencounters his former lover as she defends herself in a warcrime trial,drama romance postwwii germany nearly decade affair older woman came mysterious end law student michael berg reencounters former lover defends warcrime trial,drama romanc postwwii germani near decad affair older woman came mysteri end law student michael berg reencount former lover defend warcrim trial
